"year","comp_loc","mean_salary"
2023,"AR",65000
2023,"AU",157126.388888889
2023,"BA",120000
2023,"BR",63252.5714285714
2023,"CA",150724.141414141
2023,"CH",83661.3333333333
2023,"DE",112799.971428571
2023,"EE",48393.4444444444
2023,"ES",60327.9857142857
2023,"FI",71259
2023,"FR",100411.19047619
2023,"GB",105370.374025974
2023,"HU",43000
2023,"IE",106882.166666667
2023,"IN",47777.5217391304
2023,"IT",53863.4444444444
2023,"LT",100410
2023,"LV",58626.3333333333
2023,"MX",80000
2023,"NL",73953.3
2023,"NZ",164951.5
2023,"PH",60226.6666666667
2023,"PL",62935.2
2023,"PT",51521
2023,"RO",46426
2023,"SA",134999
2023,"TR",19190.5
2023,"UA",121333.333333333
2023,"US",159578.623602158
2023,"ZA",62935.4
2024,"AR",88500
2024,"AU",133389.565217391
2024,"BA",30000
2024,"BR",46000
2024,"CA",147235.767605634
2024,"CH",196401
2024,"DE",92852.6
2024,"EE",40000
2024,"ES",72184.6666666667
2024,"FI",77777
2024,"FR",113459.363636364
2024,"GB",78993.8447204969
2024,"HU",63333
2024,"IE",93611
2024,"IN",60556.5
2024,"IT",44444
2024,"LT",58867.0833333333
2024,"LV",51816.375
2024,"MX",223774.5
2024,"NL",78091
2024,"NZ",143729
2024,"PH",31800
2024,"PL",135444.25
2024,"PT",53054.75
2024,"RO",26000
2024,"SA",150000
2024,"TR",27000
2024,"UA",82000
2024,"US",157129.53946694
2024,"ZA",52212.1
