"year","exp_level","emp_type","salary","comp_loc","comp_size"
2021,"MI","FT",40038,"CL","L"
2021,"MI","FT",36259,"US","L"
2020,"MI","FT",35735,"HU","L"
2021,"MI","FT",77364,"JP","S"
2022,"SE","FT",95386,"IN","L"
2021,"MI","FT",63711,"JP","S"
2021,"SE","FT",94665,"IN","L"
2022,"EN","FT",17684,"HU","M"
2022,"EX","FT",76309,"IN","L"
2022,"EN","FT",41809,"JP","L"
2023,"MI","FT",60805,"IN","L"
2023,"EN","FT",60207,"IN","S"
2021,"SE","FT",66265,"IN","L"
2022,"SE","FT",56723,"IN","L"
2020,"EN","FT",41689,"JP","S"
2022,"MI","FT",53416,"ID","L"
2023,"EN","FT",48644,"DE","L"
2021,"SE","FT",54094,"IN","L"
2021,"SE","FT",54094,"US","L"
2023,"SE","FT",43779,"IN","L"
2024,"MI","FT",39615,"IN","L"
2023,"MI","FT",38915,"IN","L"
2023,"MI","FT",38915,"IN","M"
2023,"SE","FT",36483,"IN","L"
2022,"SE","FT",38154,"IN","L"
2021,"SE","FT",40570,"IN","L"
2020,"MI","FT",40481,"IN","L"
2022,"MI","FT",35610,"IN","L"
2023,"MI","FT",32834,"IN","M"
2022,"MI","FT",31795,"US","M"
2021,"MI","FT",33808,"IN","M"
2022,"MI","FL",30523,"IN","S"
2022,"MI","FT",30523,"IN","L"
2024,"MI","FT",27611,"IN","L"
2021,"EN","FT",30428,"IN","L"
2021,"EN","FT",29751,"IN","L"
2021,"EN","FT",28399,"IN","M"
2023,"EN","FT",24322,"CH","L"
2023,"MI","FT",24322,"IN","L"
2022,"EN","FT",22892,"IN","M"
2021,"SE","FT",24342,"IN","L"
2023,"EN","FT",20673,"IN","L"
2023,"MI","FT",20673,"IN","L"
2021,"MI","FT",22611,"IN","L"
2022,"MI","FT",20984,"IN","L"
2021,"EN","FT",21637,"IN","M"
2023,"SE","FT",417937,"IL","L"
2023,"MI","FT",18241,"IN","L"
2021,"MI","FT",19609,"IN","L"
2023,"MI","FT",17511,"SG","M"
2022,"MI","FT",18314,"IN","L"
2023,"EN","FT",17025,"IN","L"
2023,"MI","FT",17025,"IN","L"
2022,"MI","FT",17805,"IN","M"
2022,"EN","FT",17805,"IN","M"
2023,"MI","FT",16417,"IN","L"
2021,"EN","FT",18053,"AS","S"
2023,"SE","FT",15809,"IN","S"
2022,"MI","FT",15897,"IN","M"
2021,"MI","FT",16904,"IN","L"
2021,"MI","FT",16904,"IN","S"
2021,"EN","FT",16228,"IN","L"
2023,"EX","FT",100416,"NO","S"
2023,"SE","FT",29301,"TH","M"
2023,"MI","FT",15680,"PH","L"
2023,"MI","FT",24613,"TH","L"
2024,"MI","FT",800000,"CA","M"
2023,"SE","FT",76508,"NO","S"
2024,"EN","FT",774000,"MX","M"
2024,"SE","FT",750000,"US","M"
2024,"MI","FT",750000,"US","M"
2024,"SE","FT",750000,"US","M"
2024,"MI","FT",750000,"US","M"
2023,"MI","FT",750000,"US","M"
2023,"MI","FT",750000,"US","M"
2023,"MI","FT",750000,"US","M"
2023,"SE","FT",750000,"US","M"
2024,"MI","FT",720000,"US","M"
2024,"SE","FT",720000,"US","M"
2024,"MI","FT",720000,"US","M"
2024,"SE","FT",720000,"US","M"
2024,"SE","FT",720000,"US","M"
2024,"MI","FT",720000,"US","M"
2024,"MI","FT",720000,"US","M"
2024,"MI","FT",720000,"US","M"
2020,"SE","FT",33511,"MX","S"
2023,"SE","FT",700000,"US","M"
2023,"MI","FT",700000,"US","M"
2023,"MI","FT",34482,"ZA","L"
2024,"SE","FT",600000,"US","M"
2024,"SE","FT",600000,"US","M"
2024,"SE","FT",600000,"US","M"
2024,"SE","FT",550000,"US","M"
2024,"SE","FT",550000,"US","M"
2024,"MI","FT",530000,"US","M"
2023,"MI","FT",65058,"HK","L"
2024,"SE","FT",500000,"US","M"
2024,"SE","FT",500000,"US","M"
2024,"SE","FT",484000,"US","M"
2023,"EX","FT",465000,"US","M"
2024,"SE","FT",450000,"US","M"
2020,"MI","FT",450000,"US","M"
2024,"SE","FT",449000,"US","M"
2024,"EX","FT",448000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"SE","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"SE","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"MI","FT",440000,"US","M"
2024,"SE","FT",440000,"US","M"
2024,"SE","FT",440000,"US","M"
2024,"SE","FT",440000,"US","M"
2024,"SE","FT",440000,"US","M"
2024,"EX","FT",438000,"US","M"
2021,"MI","FT",423000,"US","L"
2024,"SE","FT",418000,"US","M"
2024,"SE","FT",418000,"US","M"
2021,"EX","CT",416000,"US","S"
2024,"SE","FT",414000,"US","M"
2024,"SE","FT",414000,"US","M"
2020,"SE","FT",412000,"US","L"
2023,"SE","FT",303387,"CA","M"
2024,"EX","FT",408500,"US","M"
2023,"MI","FT",405000,"US","L"
2022,"SE","FT",405000,"US","L"
2024,"SE","FT",400000,"US","M"
2024,"MI","FT",400000,"US","M"
2024,"SE","FT",398900,"US","M"
2024,"SE","FT",398900,"US","M"
2023,"SE","FT",392000,"US","M"
2024,"SE","FT",386100,"US","M"
2024,"MI","FT",385000,"US","M"
2024,"SE","FT",385000,"US","M"
2024,"SE","FT",385000,"US","M"
2024,"MI","FT",385000,"US","M"
2023,"EX","FT",385000,"US","M"
2023,"SE","FT",385000,"US","M"
2023,"SE","FT",385000,"US","M"
2023,"SE","FT",385000,"US","M"
